participant_id,full_name,email,state,age,gender,education_level,program,start_date,end_date,status,attendance_pct,final_score,employed_before,employed_after,income_before,income_after,satisfaction_score
P0055,Participant 55,participant55@gmail.com,Nuevo León,24,F,,Excel for Business,2025-07-01,2025-10-13,In progress,52.6,93.6,,No,5931.4,9381.05,
P0056,Participant 56,participant56@example.org,Jalisco,26,Mujer,Licenciatura,Excel for Business,2025-05-10,2025-08-04,Completed,90.4,87.6,Sí,no,6818.46,8489.95,
P0057,Participant 57,participant57@outlook.com,Nuevo León,31,Hombre,Universidad,Data Analytics,2025-08-23,2025-09-15,Dropped,38.9,93.7,Yes,No,5422.6,10502.03,3
P0058,Participant 58,participant58@example.org,Yucatán,28,,Posgrado,Data Analytics,2025-03-27,2025-07-09,completed,80.2,97.7,No,Yes,5327.55,1886.76,3
P0059,Participant 59,participant59@outlook.com,Chiapas,28,Mujer,Secundaria,Data Analytics,25/04/2025,2025-06-09,,54.0,78.1,No,,8357.66,10226.53,3
P0060,Participant 60,participant60.com,Nuevo León,23,,Preparatoria,Digital Marketing,2025-07-30,2025-11-25,In progress,91.5,100.0,,No,5375.48,4561.07,3
P0061,Participant 61,participant61@example.org,CDMX,26,,Licenciatura,Employability Skills,28/06/2025,2025-10-19,,59.1,69.4,,No,1048.61,"$7,200",1
P0062,Participant 62,participant62@yahoo.com,Chiapas,23,Hombre,Preparatoria,Employability Skills,2025-07-19,2025-09-01,Dropped,81.9,105.4,yes,,8711.33,11151.6,
P0063,Participant 63,participant63@example.org,Jalisco,24,No especificado,Universidad,Python Basics,11/08/2025,2025-12-02,COMPLETED,71.1,58.6,,Yes,4801.25,5654.25,2
P0064,Participant 64,participant64@example.org,Yucatán,23,No especificado,Bachillerato,Python Basics,2025-04-30,2025-05-23,Dropped,55.1,99.0,yes,Sí,0,3536.72,4
P0065,Participant 65,participant65@yahoo.com,EdoMex,25,Male,,Python Basics,03/07/2025,2025-08-01,Abandoned,-10.0,83.0,yes,yes,8163.7,8432.58,4
P0066,Participant 66,,Yucatán,32,Male,,Excel for Business,2025-05-23,2025-07-30,completed,77.8,80.4,No,No,1521.71,,3
P0067,Participant 67,participant67@yahoo.com,Ciudad de México,20,Male,Universidad,Excel for Business,23/02/2025,2025-05-27,In progress,92.4,84.9,No,Yes,7820.24,8845.46,2
P0068,Participant 68,participant68@gmail.com,CDMX,24,Male,,Python Basics,2025-03-23,2025-06-12,completed,86.4,88.1,Yes,yes,7078.62,12695.54,4
P0069,Participant 69,participant69@example.org,Puebla,95,No especificado,Licenciatura,Excel for Business,2025-07-26,2025-09-23,Completed,90.3,80.4,yes,no,8314.2,N/A,
P0070,Participant 70,participant70@gmail.com,Nuevo León,23,Male,Bachillerato,Python Basics,2025-02-09,2025-06-06,,78.8,74.4,no,Sí,5608.18,8663.03,1
P0071,Participant 71,participant71@outlook.com,Ciudad de México,30,,Bachillerato,Digital Marketing,2025-02-14,2025-05-02,Abandoned,79.1,76.4,Sí,No,3124.17,4896.22,
P0072,Participant 72,participant72@example.org,Oaxaca,20,,Bachillerato,Digital Marketing,2025-08-21,2025-09-26,,,80.2,Sí,Sí,3544.76,3637.73,3
P0073,Participant 73,participant73@yahoo.com,Oaxaca,22,,Licenciatura,Employability Skills,2025-03-09,2025-06-27,,105.0,96.2,,No,4909.12,7495.89,1
P0074,Participant 74,participant74@outlook.com,EdoMex,28,Hombre,Posgrado,Python Basics,2025-08-14,2025-10-18,completed,67.4,104.9,no,,8341.51,,2
P0075,Participant 75,participant75@outlook.com,Estado de México,24,No especificado,Bachillerato,Excel for Business,2025-06-11,2025-08-30,completed,99.0,87.6,yes,yes,6944.54,4820.35,4
P0076,Participant 76,participant76.com,Oaxaca,20,,,Data Analytics,2025-04-03,2025-06-25,In progress,123.3,62.1,Sí,Sí,5103.36,,
P0077,Participant 77,participant77@example.org,Chiapas,95,F,,Digital Marketing,2025-03-13,2025-04-12,Completed,53.9,64.9,,Yes,7015.41,9015.79,3
P0078,Participant 78,participant78@yahoo.com,Nuevo León,18,No especificado,Licenciatura,Digital Marketing,15/02/2025,2025-04-07,In progress,83.9,81.1,Yes,Yes,7849.62,10572.44,3
P0079,Participant 79,participant79@example.org,Puebla,31,F,,Employability Skills,2025-05-02,2025-06-05,,66.1,94.3,Sí,no,5728.96,4435.29,
P0080,Participant 80,participant80@outlook.com,Puebla,17,M,Secundaria,Digital Marketing,2025-05-12,2025-06-06,Completed,110.6,86.3,No,no,8123.88,8360.46,1
P0081,Participant 81,,Cd. México,34,,Bachillerato,Data Analytics,2025-03-23,2025-06-20,Dropped,81.6,74.2,No,yes,4290.29,6431.39,4
P0082,Participant 82,participant82@yahoo.com,Estado de México,20,,Posgrado,Employability Skills,2025-07-08,2025-08-20,,57.7,88.8,,,4856.56,3053.11,3
P0083,Participant 83,participant83@example.org,EdoMex,25,Female,,Data Analytics,2025-08-25,2025-10-01,Completed,96.8,94.9,No,,5403.73,7777.91,3
P0084,Participant 84,participant84@outlook.com,Yucatán,14,Female,Secundaria,Data Analytics,2025-03-11,2025-04-16,In progress,83.8,78.5,no,Sí,7429.25,3501.87,2
P0085,Participant 85,participant85@gmail.com,Chiapas,16,M,Licenciatura,Excel for Business,2025-01-01,2025-01-25,,98.9,81.4,yes,No,6692.6,8030.88,
P0086,Participant 86,participant86gmail.com,Chiapas,16,Male,,Employability Skills,24/04/2025,2025-07-30,Abandoned,93.2,96.7,no,,8075.71,9705.53,2
P0087,Participant 87,participant87@outlook.com,EdoMex,28,Female,Secundaria,Employability Skills,2025-02-14,2025-04-26,,76.5,93.0,,yes,6366.22,"$7,200",4
P0088,Participant 88,participant88@outlook.com,Ciudad de México,23,Male,Preparatoria,Employability Skills,2025-04-24,2025-08-03,completed,83.0,74.2,No,,7675.17,9767.4,
P0089,Participant 89,participant89@gmail.com,Jalisco,30,,,Employability Skills,2025-03-18,2025-05-07,completed,99.4,101.6,no,No,2634.14,3718.69,5
P0090,Participant 90,participant90@gmail.com,Nuevo León,25,,Preparatoria,Digital Marketing,2025-05-23,2025-08-15,Abandoned,96.8,88.8,yes,Sí,5124.86,,
P0091,Participant 91,participant91@example.org,Cd. México,18,No especificado,Bachillerato,Python Basics,2025-04-27,2025-08-17,Dropped,39.2,101.7,No,Yes,8024.54,10991.72,5
P0092,Participant 92,participant92@example.org,Puebla,22,No especificado,Universidad,Employability Skills,2025-01-15,2025-04-12,In progress,119.9,90.7,No,no,7397.32,9103.46,
P0093,Participant 93,participant93@gmail.com,EdoMex,13,,Licenciatura,Digital Marketing,2025-07-22,2025-08-17,,76.2,84.2,no,No,8980.01,8398.68,3
P0094,Participant 94,,Jalisco,29,M,,Excel for Business,2025-05-03,2025-06-04,Abandoned,80.9,70.8,no,No,"$5,000",9715.24,
P0095,Participant 95,participant95@yahoo.com,Jalisco,19,Mujer,Universidad,Python Basics,2025-06-13,2025-09-14,Completed,66.1,67.1,No,,3767.74,4436.83,5
P0096,Participant 96,participant96@gmail.com,Estado de México,31,No especificado,,Python Basics,2025-07-04,2025-08-17,In progress,71.6,-5.0,,yes,7909.7,13088.64,
P0097,Participant 97,participant97@example.org,Yucatán,15,,,Data Analytics,18/02/2025,2025-05-08,completed,43.6,85.6,,Sí,4164.63,3383.23,3
P0098,Participant 98,participant98@outlook.com,Nuevo León,19,Male,Universidad,Python Basics,2025-01-08,2025-02-18,Abandoned,84.0,92.0,yes,No,7237.49,11941.27,4
P0099,Participant 99,participant99@yahoo.com,Nuevo León,18,,Posgrado,Employability Skills,2025-04-14,2025-07-07,,89.3,101.0,no,,4733.05,4972.01,3
P0100,Participant 100,participant100@yahoo.com,EdoMex,15,Male,Preparatoria,Excel for Business,2025-07-20,2025-10-12,Abandoned,68.5,86.3,No,Sí,3535.03,2338.81,1
P0101,Participant 101,participant101@outlook.com,Estado de México,26,Male,,Employability Skills,2025-03-14,2025-04-17,Dropped,122.9,83.0,,No,5252.78,6934.09,1
P0102,Participant 102,participant102@outlook.com,EdoMex,25,Male,Posgrado,Excel for Business,2025-05-05,2025-07-15,Dropped,78.9,84.0,No,Yes,5437.43,8109.41,1
P0103,Participant 103,participant103@outlook.com,EdoMex,-3,F,Secundaria,Python Basics,2025-05-14,2025-07-04,Dropped,74.6,82.7,,no,6824.23,8140.28,
P0104,Participant 104,participant104@outlook.com,Yucatán,12,,Preparatoria,Data Analytics,2025-01-04,2025-01-27,Dropped,65.6,81.2,,,3966.49,4622.04,4
P0105,Participant 105,participant105@example.org,Jalisco,29,M,Secundaria,Employability Skills,2025-05-10,30/07/2025,,51.3,65.6,no,No,4938.09,,1
P0106,Participant 106,participant106@example.org,Puebla,28,Female,Secundaria,Excel for Business,2025-07-10,19/08/2025,COMPLETED,80.0,-5.0,No,Sí,5461.73,7704.45,
P0107,Participant 107,,EdoMex,21,Female,Licenciatura,Data Analytics,2025-01-29,25/05/2025,,62.1,65.5,Sí,No,1466.1,1461.77,5
P0108,Participant 108,participant108@outlook.com,Oaxaca,30,No especificado,,Digital Marketing,2025-07-12,26/10/2025,Dropped,103.4,96.6,,Yes,5580.01,5423.86,
P0109,Participant 109,participant109@yahoo.com,Chiapas,21,F,Preparatoria,Excel for Business,04/04/2025,2025-07-28,In progress,,65.8,,yes,3070.96,2386.52,3
P0110,Participant 110,participant110gmail.com,Cd. México,27,Male,Bachillerato,Python Basics,2025-04-24,2025-05-23,completed,81.1,84.9,,No,4971.66,5960.34,2
P0111,Participant 111,participant111@gmail.com,Nuevo León,32,,,Employability Skills,2025-08-05,2025-09-15,Completed,110.4,71.8,,No,6398.02,6527.42,2
P0112,Participant 112,participant112@yahoo.com,EdoMex,16,,Preparatoria,Excel for Business,2025-08-26,21/09/2025,Dropped,56.2,95.6,,No,2396.7,4686.67,
P0113,Participant 113,participant113@outlook.com,Nuevo León,19,Female,Licenciatura,Excel for Business,2025-06-14,2025-09-02,Dropped,94.4,85.9,No,,3794.17,2841.19,
P0114,Participant 114,participant114@outlook.com,Ciudad de México,23,F,Bachillerato,Employability Skills,2025-05-12,2025-09-07,Dropped,80.9,71.7,,No,8817.02,10461.67,4
P0115,Participant 115,participant115gmail.com,Puebla,34,Mujer,,Employability Skills,2025-03-16,2025-04-20,,85.1,96.4,No,No,3975.54,3762.72,4
P0116,Participant 116,participant116@gmail.com,Nuevo León,27,Hombre,Universidad,Data Analytics,2025-02-07,2025-04-13,completed,63.3,56.9,yes,No,1954.09,"$7,200",2
P0117,Participant 117,participant117@gmail.com,Yucatán,20,Mujer,Secundaria,Excel for Business,18/02/2025,11/05/2025,,124.0,100.5,No,,10515.23,13558.54,5
P0118,Participant 118,participant118@example.org,EdoMex,27,M,,Digital Marketing,2025-08-08,2025-10-13,completed,95.1,90.2,no,No,3707.94,1548.17,4
P0119,Participant 119,participant119@yahoo.com,Nuevo León,35,Hombre,Posgrado,Data Analytics,2025-07-24,2025-11-14,COMPLETED,58.6,95.8,Yes,No,4739.44,3683.41,3
P0120,Participant 120,participant120@example.org,Puebla,26,Mujer,,Python Basics,2025-08-19,2025-10-16,Completed,96.6,79.7,Yes,Sí,2575.21,-1394.86,4
P0121,Participant 121,participant121@gmail.com,Jalisco,20,Mujer,Posgrado,Data Analytics,2025-08-08,2025-09-10,,86.4,91.2,No,,8567.33,9587.05,
P0122,Participant 122,participant122@gmail.com,Yucatán,22,,,Digital Marketing,2025-07-29,2025-09-18,Completed,68.5,81.8,Yes,Sí,0,2791.28,2
P0123,Participant 123,participant123@yahoo.com,Chiapas,14,,,Data Analytics,2025-06-18,2025-08-09,In progress,68.5,91.5,,Yes,2364.28,4403.85,3
P0124,Participant 124,,Cd. México,23,Mujer,,Digital Marketing,2025-07-17,2025-11-11,completed,96.3,114.0,No,yes,5941.1,6480.45,1
P0125,Participant 125,participant125@outlook.com,Cd. México,26,Mujer,Secundaria,Python Basics,2025-07-11,2025-08-31,,94.3,89.4,,No,10643.74,11514.53,1
P0126,Participant 126,participant126@,Ciudad de México,32,,Preparatoria,Excel for Business,10/07/2025,2025-10-03,,52.0,83.1,no,No,4770.47,3156.73,
P0127,Participant 127,participant127@yahoo.com,Oaxaca,22,Mujer,,Digital Marketing,2025-06-13,2025-09-25,,135.5,76.9,yes,yes,8371.11,9775.0,2
P0128,Participant 128,participant128@example.org,Oaxaca,15,M,,Excel for Business,08/08/2025,2025-08-28,COMPLETED,28.3,94.8,,yes,7472.25,8182.81,
P0129,Participant 129,participant129@gmail.com,EdoMex,20,No especificado,Posgrado,Python Basics,2025-08-11,28/10/2025,Dropped,95.0,71.7,Sí,,8355.96,10217.5,
P0130,Participant 130,participant130@gmail.com,EdoMex,20,Mujer,,Excel for Business,2025-06-21,2025-07-21,,88.4,85.9,Sí,no,6177.44,7924.99,5
P0131,Participant 131,participant131@example.org,Jalisco,28,Hombre,,Digital Marketing,2025-03-16,2025-05-31,Abandoned,67.8,76.5,Yes,Sí,4745.29,7488.06,
P0132,Participant 132,participant132@outlook.com,Chiapas,22,No especificado,Licenciatura,Digital Marketing,2025-03-28,2025-06-18,Completed,105.0,90.0,No,No,3192.17,5299.04,3
P0133,Participant 133,participant133@example.org,Nuevo León,20,M,,Data Analytics,2025-04-08,2025-06-12,COMPLETED,74.5,86.1,Yes,yes,,8796.83,5
P0134,Participant 134,participant134@yahoo.com,Ciudad de México,26,,Preparatoria,Python Basics,20/07/2025,2025-09-05,,68.4,80.9,,No,4411.94,6963.0,1
P0135,Participant 135,participant135@,Nuevo León,29,M,Preparatoria,Digital Marketing,2025-07-06,11/10/2025,Dropped,68.5,86.1,,Yes,3885.57,1692.21,3
P0136,Participant 136,participant136@gmail.com,Jalisco,22,,,Employability Skills,2025-03-05,2025-05-13,,95.1,102.5,,,,7366.96,
P0137,Participant 137,,CDMX,23,Female,Licenciatura,Employability Skills,2025-04-02,2025-05-19,In progress,50.6,68.6,no,Sí,5225.16,9003.07,
P0138,Participant 138,participant138@gmail.com,Nuevo León,22,Female,Preparatoria,Digital Marketing,2025-04-16,2025-07-09,COMPLETED,74.3,61.0,No,No,5765.45,6120.26,
P0139,Participant 139,participant139@gmail.com,CDMX,8,Hombre,Secundaria,Employability Skills,2025-07-11,30/09/2025,Abandoned,51.9,110.0,,yes,5802.79,6129.85,3
P0140,Participant 140,participant140@example.org,Cd. México,28,Male,,Python Basics,2025-06-17,2025-07-25,COMPLETED,93.3,75.1,,Yes,5339.82,5477.32,2
P0141,Participant 141,participant141@outlook.com,Ciudad de México,14,No especificado,Licenciatura,Digital Marketing,2025-05-07,2025-07-01,COMPLETED,94.1,76.2,,Yes,5866.98,9968.98,2
P0142,Participant 142,participant142@example.org,Yucatán,29,Mujer,,Employability Skills,2025-05-01,2025-06-28,Completed,87.2,80.0,No,yes,5253.53,6487.46,
P0143,Participant 143,participant143@yahoo.com,Yucatán,95,,Bachillerato,Data Analytics,2025-02-07,2025-03-26,,80.0,80.5,No,Sí,795.38,2283.12,3
P0144,Participant 144,participant144@yahoo.com,Yucatán,17,No especificado,Universidad,Digital Marketing,16/03/2025,2025-05-22,Dropped,98.1,83.6,,yes,10977.06,9695.71,2
P0145,Participant 145,participant145@example.org,Ciudad de México,27,Male,,Python Basics,2025-08-27,2025-12-19,Abandoned,34.9,77.1,,no,5823.53,,5
P0146,Participant 146,participant146@yahoo.com,EdoMex,11,F,,Employability Skills,2025-04-17,2025-07-09,Completed,100.0,83.3,,no,2713.13,4088.95,5
P0147,Participant 147,participant147@gmail.com,Chiapas,23,,Universidad,Excel for Business,2025-05-06,2025-06-11,Abandoned,56.8,65.2,No,no,1867.09,3092.87,2
P0148,Participant 148,participant148@outlook.com,Chiapas,24,Mujer,Bachillerato,Data Analytics,2025-06-23,2025-08-02,Completed,109.2,108.8,yes,yes,2841.49,2469.35,3
P0149,Participant 149,participant149@example.org,CDMX,17,Hombre,Bachillerato,Data Analytics,26/03/2025,2025-04-22,Dropped,82.3,51.6,no,No,4784.99,7966.72,3
P0150,Participant 150,,Cd. México,35,Male,Bachillerato,Python Basics,2025-01-12,2025-04-11,Abandoned,82.8,103.2,yes,,6172.82,6755.07,5
P0151,Participant 151,participant151@yahoo.com,Cd. México,30,Mujer,,Employability Skills,2025-07-25,2025-11-12,Abandoned,77.1,71.1,,yes,3865.58,1221.37,
P0152,Participant 152,participant152gmail.com,Puebla,42,Female,Bachillerato,Excel for Business,2025-07-27,19/11/2025,,99.0,79.5,No,yes,6983.89,2891.19,
P0153,Participant 153,participant153gmail.com,Nuevo León,37,F,Universidad,Python Basics,2025-05-16,2025-06-09,completed,86.3,96.6,No,,3330.0,,4
P0154,Participant 154,participant154@yahoo.com,Yucatán,15,Mujer,,Employability Skills,2025-02-14,2025-05-05,completed,74.0,71.5,no,No,10773.61,13385.89,
P0155,Participant 155,participant155@example.org,CDMX,23,,Posgrado,Python Basics,2025-08-19,2025-10-30,In progress,48.9,68.8,yes,,7090.73,N/A,
P0156,Participant 156,participant156@example.org,EdoMex,15,No especificado,Preparatoria,Excel for Business,2025-05-28,2025-07-18,Completed,70.7,65.4,,,5158.04,8319.74,1
P0157,Participant 157,participant157.com,Puebla,17,Female,Preparatoria,Excel for Business,2025-04-03,2025-05-18,COMPLETED,59.7,84.7,,No,6568.64,6032.91,4
P0158,Participant 158,participant158@example.org,Jalisco,29,,,Python Basics,2025-07-15,2025-11-11,COMPLETED,40.7,76.9,no,yes,5076.38,6545.66,4
P0159,Participant 159,participant159@gmail.com,Puebla,27,No especificado,Universidad,Data Analytics,2025-04-11,2025-06-02,Abandoned,74.9,82.9,Yes,,4112.82,3796.5,2
P0160,Participant 160,participant160@example.org,Puebla,26,Male,Posgrado,Data Analytics,2025-08-28,2025-10-04,Abandoned,74.7,61.1,Yes,Sí,0,1145.69,5
P0161,Participant 161,participant161@gmail.com,Nuevo León,22,Mujer,Licenciatura,Data Analytics,2025-05-17,2025-09-01,,83.9,72.0,No,,9042.61,,1
P0162,Participant 162,participant162@outlook.com,Yucatán,27,F,Secundaria,Employability Skills,22/02/2025,2025-04-26,In progress,80.5,77.9,Sí,no,5783.67,6424.31,2
P0163,Participant 163,participant163@outlook.com,Ciudad de México,-3,,Licenciatura,Python Basics,2025-07-28,2025-11-16,In progress,79.5,89.9,Sí,yes,4811.22,8552.6,
P0164,Participant 164,participant164.com,Cd. México,20,F,Universidad,Excel for Business,2025-01-16,2025-04-25,COMPLETED,73.7,-5.0,Sí,Yes,5754.64,9742.88,5
