participant_id,full_name,email,email_valid,state,age,gender,education_level,program,start_date,end_date,program_duration_days,status,attendance_pct,final_score,employed_before,employed_after,employment_change,income_before,income_after,income_change,satisfaction_score
P0031,Participant 31,participant31@gmail.com,True,Yucatán,32.0,Female,Secondary,Digital Marketing,2025-01-28,2025-05-19,111.0,Dropped,65.4,80.3,Yes,Unknown,Unknown,3998.49,6031.39,2032.9000000000005,
P0032,Participant 32,participant32@outlook.com,True,Estado de México,,Male,Not specified,Excel for Business,2025-01-30,2025-02-23,24.0,Unknown,66.4,62.8,Yes,No,Lost employment,9711.71,7797.14,-1914.5699999999988,2.0
P0033,Participant 33,participant33@yahoo.com,True,Puebla,,Male,High school,Digital Marketing,2025-07-21,2025-10-31,102.0,Completed,,80.6,Yes,Yes,Remained employed,8594.54,9803.98,1209.4399999999987,1.0
P0034,Participant 34,participant34@gmail.com,True,Ciudad de México,24.0,Male,High school,Digital Marketing,2025-05-03,2025-07-11,69.0,Unknown,53.4,88.4,No,Unknown,Unknown,6330.79,6183.51,-147.27999999999975,4.0
P0035,Participant 35,participant35@example.org,True,Ciudad de México,22.0,Male,Not specified,Data Analytics,2025-07-10,2025-11-04,117.0,Unknown,,89.7,Yes,Unknown,Unknown,8921.58,12026.74,3105.16,3.0
P0036,Participant 36,participant36@example.org,True,Estado de México,,Not specified,Not specified,Excel for Business,2025-02-22,2025-05-18,85.0,In progress,95.7,86.0,Unknown,Yes,Unknown,1241.54,2341.55,1100.0100000000002,3.0
P0037,Participant 37,participant37@outlook.com,True,Ciudad de México,26.0,Not specified,Secondary,Employability Skills,2025-01-01,2025-01-25,24.0,Completed,61.1,81.2,No,Yes,Entered employment,7887.86,8133.4,245.53999999999996,1.0
P0038,Participant 38,participant38@example.org,True,Oaxaca,19.0,Not specified,High school,Data Analytics,2025-06-29,2025-10-05,98.0,Completed,76.2,82.5,Unknown,Unknown,Unknown,5219.18,6021.43,802.25,
P0039,Participant 39,participant39@outlook.com,True,Ciudad de México,25.0,Female,Undergraduate,Digital Marketing,2025-04-29,2025-06-15,47.0,Completed,,92.4,No,Yes,Entered employment,6677.59,7232.81,555.2200000000003,5.0
P0040,Participant 40,participant40@outlook.com,True,Chiapas,29.0,Female,High school,Digital Marketing,2025-03-24,2025-05-24,61.0,Dropped,,92.6,Unknown,No,Unknown,11435.82,14461.98,3026.16,3.0
P0041,Participant 41,participant41@outlook.com,True,Yucatán,,Male,Undergraduate,Employability Skills,2025-02-24,2025-03-24,28.0,Unknown,94.9,77.7,Unknown,Unknown,Unknown,4903.77,5416.33,512.5599999999995,2.0
P0042,Participant 42,participant42@yahoo.com,True,Puebla,21.0,Male,High school,Data Analytics,2025-03-20,2025-06-22,94.0,Unknown,73.7,71.1,No,No,Remained unemployed,3690.0,3931.36,241.36000000000013,5.0
P0043,Participant 43,participant43@gmail.com,True,Ciudad de México,20.0,Not specified,Undergraduate,Python Basics,2025-06-10,2025-07-05,25.0,Dropped,60.0,76.5,Unknown,No,Unknown,4733.21,3882.75,-850.46,2.0
P0044,Participant 44,participant44@yahoo.com,True,Ciudad de México,25.0,Male,Graduate,Employability Skills,2025-02-18,2025-05-17,88.0,Completed,96.1,75.1,Yes,Yes,Remained employed,3691.65,9272.58,5580.93,4.0
P0045,Participant 45,participant45@yahoo.com,True,Chiapas,25.0,Not specified,Secondary,Python Basics,2025-01-05,2025-04-17,102.0,Dropped,79.6,87.9,Unknown,Yes,Unknown,9450.34,9580.21,129.86999999999898,
P0046,Participant 46,participant46@gmail.com,True,Ciudad de México,27.0,Female,High school,Data Analytics,2025-08-13,2025-11-06,85.0,Completed,99.6,77.1,Yes,Yes,Remained employed,8128.98,7810.6,-318.3799999999992,3.0
P0047,Participant 47,participant47@yahoo.com,True,Chiapas,,Male,Graduate,Excel for Business,2025-07-15,2025-10-28,105.0,Dropped,98.6,89.6,No,Yes,Entered employment,11176.73,11549.88,373.14999999999964,5.0
P0048,Participant 48,participant48@example.org,True,Estado de México,18.0,Female,High school,Digital Marketing,2025-06-04,2025-09-26,114.0,Dropped,37.6,90.1,Unknown,Yes,Unknown,2953.45,9510.6,6557.150000000001,1.0
P0049,Participant 49,participant49@gmail.com,True,Jalisco,31.0,Male,Undergraduate,Excel for Business,2025-08-24,2025-12-21,119.0,Unknown,84.4,77.1,Yes,No,Lost employment,1869.49,2585.59,716.1000000000001,5.0
P0050,Participant 50,participant50@example.org,True,Oaxaca,21.0,Female,High school,Data Analytics,2025-08-03,2025-10-18,76.0,Completed,67.2,97.6,No,Unknown,Unknown,4676.82,5030.31,353.4900000000007,5.0
P0051,Participant 51,participant51@gmail.com,True,Jalisco,,Not specified,High school,Digital Marketing,2025-07-06,2025-09-14,70.0,Completed,,87.7,No,Yes,Entered employment,8797.1,7196.75,-1600.3500000000004,1.0
P0052,Participant 52,participant52@yahoo.com,True,Ciudad de México,,Male,Undergraduate,Excel for Business,2025-03-27,2025-07-16,111.0,Completed,96.7,73.6,No,Yes,Entered employment,6613.5,7839.08,1225.58,3.0
P0053,Participant 53,participant53@example.org,True,Chiapas,18.0,Male,Undergraduate,Excel for Business,2025-07-13,2025-11-01,111.0,Completed,49.0,76.6,Yes,No,Lost employment,189.75,1935.34,1745.59,4.0
P0054,Participant 54,participant54@gmail.com,True,Ciudad de México,30.0,Male,Not specified,Excel for Business,2025-05-15,2025-09-04,112.0,Dropped,67.8,79.3,Yes,No,Lost employment,9037.41,10462.49,1425.08,2.0
P0055,Participant 55,participant55@gmail.com,True,Nuevo León,24.0,Female,Not specified,Excel for Business,2025-07-01,2025-10-13,104.0,In progress,52.6,93.6,Unknown,No,Unknown,5931.4,9381.05,3449.6499999999996,
P0056,Participant 56,participant56@example.org,True,Jalisco,26.0,Female,Undergraduate,Excel for Business,2025-05-10,2025-08-04,86.0,Completed,90.4,87.6,Yes,No,Lost employment,6818.46,8489.95,1671.4900000000007,
P0057,Participant 57,participant57@outlook.com,True,Nuevo León,31.0,Male,Undergraduate,Data Analytics,2025-08-23,2025-09-15,23.0,Dropped,38.9,93.7,Yes,No,Lost employment,5422.6,10502.03,5079.43,3.0
P0058,Participant 58,participant58@example.org,True,Yucatán,28.0,Not specified,Graduate,Data Analytics,2025-03-27,2025-07-09,104.0,Completed,80.2,97.7,No,Yes,Entered employment,5327.55,1886.76,-3440.79,3.0
P0059,Participant 59,participant59@outlook.com,True,Chiapas,28.0,Female,Secondary,Data Analytics,2025-04-25,2025-06-09,45.0,Unknown,54.0,78.1,No,Unknown,Unknown,8357.66,10226.53,1868.8700000000008,3.0
P0060,Participant 60,,False,Nuevo León,23.0,Not specified,High school,Digital Marketing,2025-07-30,2025-11-25,118.0,In progress,91.5,100.0,Unknown,No,Unknown,5375.48,4561.07,-814.4099999999999,3.0
P0061,Participant 61,participant61@example.org,True,Ciudad de México,26.0,Not specified,Undergraduate,Employability Skills,2025-06-28,2025-10-19,113.0,Unknown,59.1,69.4,Unknown,No,Unknown,1048.61,7200.0,6151.39,1.0
P0062,Participant 62,participant62@yahoo.com,True,Chiapas,23.0,Male,High school,Employability Skills,2025-07-19,2025-09-01,44.0,Dropped,81.9,,Yes,Unknown,Unknown,8711.33,11151.6,2440.2700000000004,
P0063,Participant 63,participant63@example.org,True,Jalisco,24.0,Not specified,Undergraduate,Python Basics,2025-11-08,2025-12-02,24.0,Completed,71.1,58.6,Unknown,Yes,Unknown,4801.25,5654.25,853.0,2.0
P0064,Participant 64,participant64@example.org,True,Yucatán,23.0,Not specified,High school,Python Basics,2025-04-30,2025-05-23,23.0,Dropped,55.1,99.0,Yes,Yes,Remained employed,0.0,3536.72,3536.72,4.0
P0065,Participant 65,participant65@yahoo.com,True,Estado de México,25.0,Male,Not specified,Python Basics,2025-03-07,2025-08-01,147.0,Dropped,,83.0,Yes,Yes,Remained employed,8163.7,8432.58,268.8800000000001,4.0
P0066,Participant 66,,False,Yucatán,32.0,Male,Not specified,Excel for Business,2025-05-23,2025-07-30,68.0,Completed,77.8,80.4,No,No,Remained unemployed,1521.71,,,3.0
P0067,Participant 67,participant67@yahoo.com,True,Ciudad de México,20.0,Male,Undergraduate,Excel for Business,2025-02-23,2025-05-27,93.0,In progress,92.4,84.9,No,Yes,Entered employment,7820.24,8845.46,1025.2199999999993,2.0
P0068,Participant 68,participant68@gmail.com,True,Ciudad de México,24.0,Male,Not specified,Python Basics,2025-03-23,2025-06-12,81.0,Completed,86.4,88.1,Yes,Yes,Remained employed,7078.62,12695.54,5616.920000000001,4.0
P0069,Participant 69,participant69@example.org,True,Puebla,,Not specified,Undergraduate,Excel for Business,2025-07-26,2025-09-23,59.0,Completed,90.3,80.4,Yes,No,Lost employment,8314.2,,,
P0070,Participant 70,participant70@gmail.com,True,Nuevo León,23.0,Male,High school,Python Basics,2025-02-09,2025-06-06,117.0,Unknown,78.8,74.4,No,Yes,Entered employment,5608.18,8663.03,3054.8500000000004,1.0
P0071,Participant 71,participant71@outlook.com,True,Ciudad de México,30.0,Not specified,High school,Digital Marketing,2025-02-14,2025-05-02,77.0,Dropped,79.1,76.4,Yes,No,Lost employment,3124.17,4896.22,1772.0500000000002,
P0072,Participant 72,participant72@example.org,True,Oaxaca,20.0,Not specified,High school,Digital Marketing,2025-08-21,2025-09-26,36.0,Unknown,,80.2,Yes,Yes,Remained employed,3544.76,3637.73,92.9699999999998,3.0
P0073,Participant 73,participant73@yahoo.com,True,Oaxaca,22.0,Not specified,Undergraduate,Employability Skills,2025-03-09,2025-06-27,110.0,Unknown,,96.2,Unknown,No,Unknown,4909.12,7495.89,2586.7700000000004,1.0
P0074,Participant 74,participant74@outlook.com,True,Estado de México,28.0,Male,Graduate,Python Basics,2025-08-14,2025-10-18,65.0,Completed,67.4,,No,Unknown,Unknown,8341.51,,,2.0
P0075,Participant 75,participant75@outlook.com,True,Estado de México,24.0,Not specified,High school,Excel for Business,2025-06-11,2025-08-30,80.0,Completed,99.0,87.6,Yes,Yes,Remained employed,6944.54,4820.35,-2124.1899999999996,4.0
P0076,Participant 76,,False,Oaxaca,20.0,Not specified,Not specified,Data Analytics,2025-04-03,2025-06-25,83.0,In progress,,62.1,Yes,Yes,Remained employed,5103.36,,,
P0077,Participant 77,participant77@example.org,True,Chiapas,,Female,Not specified,Digital Marketing,2025-03-13,2025-04-12,30.0,Completed,53.9,64.9,Unknown,Yes,Unknown,7015.41,9015.79,2000.380000000001,3.0
P0078,Participant 78,participant78@yahoo.com,True,Nuevo León,18.0,Not specified,Undergraduate,Digital Marketing,2025-02-15,2025-04-07,51.0,In progress,83.9,81.1,Yes,Yes,Remained employed,7849.62,10572.44,2722.8200000000006,3.0
P0079,Participant 79,participant79@example.org,True,Puebla,31.0,Female,Not specified,Employability Skills,2025-05-02,2025-06-05,34.0,Unknown,66.1,94.3,Yes,No,Lost employment,5728.96,4435.29,-1293.67,
P0080,Participant 80,participant80@outlook.com,True,Puebla,17.0,Male,Secondary,Digital Marketing,2025-05-12,2025-06-06,25.0,Completed,,86.3,No,No,Remained unemployed,8123.88,8360.46,236.57999999999902,1.0
P0081,Participant 81,,False,Ciudad de México,34.0,Not specified,High school,Data Analytics,2025-03-23,2025-06-20,89.0,Dropped,81.6,74.2,No,Yes,Entered employment,4290.29,6431.39,2141.1000000000004,4.0
P0082,Participant 82,participant82@yahoo.com,True,Estado de México,20.0,Not specified,Graduate,Employability Skills,2025-07-08,2025-08-20,43.0,Unknown,57.7,88.8,Unknown,Unknown,Unknown,4856.56,3053.11,-1803.4500000000003,3.0
P0083,Participant 83,participant83@example.org,True,Estado de México,25.0,Female,Not specified,Data Analytics,2025-08-25,2025-10-01,37.0,Completed,96.8,94.9,No,Unknown,Unknown,5403.73,7777.91,2374.1800000000003,3.0
P0084,Participant 84,participant84@outlook.com,True,Yucatán,,Female,Secondary,Data Analytics,2025-03-11,2025-04-16,36.0,In progress,83.8,78.5,No,Yes,Entered employment,7429.25,3501.87,-3927.38,2.0
P0085,Participant 85,participant85@gmail.com,True,Chiapas,,Male,Undergraduate,Excel for Business,2025-01-01,2025-01-25,24.0,Unknown,98.9,81.4,Yes,No,Lost employment,6692.6,8030.88,1338.2799999999997,
P0086,Participant 86,,False,Chiapas,,Male,Not specified,Employability Skills,2025-04-24,2025-07-30,97.0,Dropped,93.2,96.7,No,Unknown,Unknown,8075.71,9705.53,1629.8200000000006,2.0
P0087,Participant 87,participant87@outlook.com,True,Estado de México,28.0,Female,Secondary,Employability Skills,2025-02-14,2025-04-26,71.0,Unknown,76.5,93.0,Unknown,Yes,Unknown,6366.22,7200.0,833.7799999999997,4.0
P0088,Participant 88,participant88@outlook.com,True,Ciudad de México,23.0,Male,High school,Employability Skills,2025-04-24,2025-08-03,101.0,Completed,83.0,74.2,No,Unknown,Unknown,7675.17,9767.4,2092.2299999999996,
P0089,Participant 89,participant89@gmail.com,True,Jalisco,30.0,Not specified,Not specified,Employability Skills,2025-03-18,2025-05-07,50.0,Completed,99.4,,No,No,Remained unemployed,2634.14,3718.69,1084.5500000000002,5.0
P0090,Participant 90,participant90@gmail.com,True,Nuevo León,25.0,Not specified,High school,Digital Marketing,2025-05-23,2025-08-15,84.0,Dropped,96.8,88.8,Yes,Yes,Remained employed,5124.86,,,
P0091,Participant 91,participant91@example.org,True,Ciudad de México,18.0,Not specified,High school,Python Basics,2025-04-27,2025-08-17,112.0,Dropped,39.2,,No,Yes,Entered employment,8024.54,10991.72,2967.1799999999994,5.0
P0092,Participant 92,participant92@example.org,True,Puebla,22.0,Not specified,Undergraduate,Employability Skills,2025-01-15,2025-04-12,87.0,In progress,,90.7,No,No,Remained unemployed,7397.32,9103.46,1706.1399999999994,
P0093,Participant 93,participant93@gmail.com,True,Estado de México,,Not specified,Undergraduate,Digital Marketing,2025-07-22,2025-08-17,26.0,Unknown,76.2,84.2,No,No,Remained unemployed,8980.01,8398.68,-581.3299999999999,3.0
P0094,Participant 94,,False,Jalisco,29.0,Male,Not specified,Excel for Business,2025-05-03,2025-06-04,32.0,Dropped,80.9,70.8,No,No,Remained unemployed,5000.0,9715.24,4715.24,
P0095,Participant 95,participant95@yahoo.com,True,Jalisco,19.0,Female,Undergraduate,Python Basics,2025-06-13,2025-09-14,93.0,Completed,66.1,67.1,No,Unknown,Unknown,3767.74,4436.83,669.0900000000001,5.0
P0096,Participant 96,participant96@gmail.com,True,Estado de México,31.0,Not specified,Not specified,Python Basics,2025-07-04,2025-08-17,44.0,In progress,71.6,,Unknown,Yes,Unknown,7909.7,13088.64,5178.94,
P0097,Participant 97,participant97@example.org,True,Yucatán,,Not specified,Not specified,Data Analytics,2025-02-18,2025-05-08,79.0,Completed,43.6,85.6,Unknown,Yes,Unknown,4164.63,3383.23,-781.4000000000001,3.0
P0098,Participant 98,participant98@outlook.com,True,Nuevo León,19.0,Male,Undergraduate,Python Basics,2025-01-08,2025-02-18,41.0,Dropped,84.0,92.0,Yes,No,Lost employment,7237.49,11941.27,4703.780000000001,4.0
P0099,Participant 99,participant99@yahoo.com,True,Nuevo León,18.0,Not specified,Graduate,Employability Skills,2025-04-14,2025-07-07,84.0,Unknown,89.3,,No,Unknown,Unknown,4733.05,4972.01,238.96000000000004,3.0
P0100,Participant 100,participant100@yahoo.com,True,Estado de México,,Male,High school,Excel for Business,2025-07-20,2025-10-12,84.0,Dropped,68.5,86.3,No,Yes,Entered employment,3535.03,2338.81,-1196.2200000000003,1.0
P0101,Participant 101,participant101@outlook.com,True,Estado de México,26.0,Male,Not specified,Employability Skills,2025-03-14,2025-04-17,34.0,Dropped,,83.0,Unknown,No,Unknown,5252.78,6934.09,1681.3100000000004,1.0
P0102,Participant 102,participant102@outlook.com,True,Estado de México,25.0,Male,Graduate,Excel for Business,2025-05-05,2025-07-15,71.0,Dropped,78.9,84.0,No,Yes,Entered employment,5437.43,8109.41,2671.9799999999996,1.0
P0103,Participant 103,participant103@outlook.com,True,Estado de México,,Female,Secondary,Python Basics,2025-05-14,2025-07-04,51.0,Dropped,74.6,82.7,Unknown,No,Unknown,6824.23,8140.28,1316.0500000000002,
P0104,Participant 104,participant104@outlook.com,True,Yucatán,,Not specified,High school,Data Analytics,2025-01-04,2025-01-27,23.0,Dropped,65.6,81.2,Unknown,Unknown,Unknown,3966.49,4622.04,655.5500000000002,4.0
P0105,Participant 105,participant105@example.org,True,Jalisco,29.0,Male,Secondary,Employability Skills,2025-05-10,2025-07-30,81.0,Unknown,51.3,65.6,No,No,Remained unemployed,4938.09,,,1.0
P0106,Participant 106,participant106@example.org,True,Puebla,28.0,Female,Secondary,Excel for Business,2025-07-10,2025-08-19,40.0,Completed,80.0,,No,Yes,Entered employment,5461.73,7704.45,2242.7200000000003,
P0107,Participant 107,,False,Estado de México,21.0,Female,Undergraduate,Data Analytics,2025-01-29,2025-05-25,116.0,Unknown,62.1,65.5,Yes,No,Lost employment,1466.1,1461.77,-4.329999999999927,5.0
P0108,Participant 108,participant108@outlook.com,True,Oaxaca,30.0,Not specified,Not specified,Digital Marketing,2025-07-12,2025-10-26,106.0,Dropped,,96.6,Unknown,Yes,Unknown,5580.01,5423.86,-156.15000000000055,
P0109,Participant 109,participant109@yahoo.com,True,Chiapas,21.0,Female,High school,Excel for Business,2025-04-04,2025-07-28,115.0,In progress,,65.8,Unknown,Yes,Unknown,3070.96,2386.52,-684.44,3.0
P0110,Participant 110,,False,Ciudad de México,27.0,Male,High school,Python Basics,2025-04-24,2025-05-23,29.0,Completed,81.1,84.9,Unknown,No,Unknown,4971.66,5960.34,988.6800000000003,2.0
P0111,Participant 111,participant111@gmail.com,True,Nuevo León,32.0,Not specified,Not specified,Employability Skills,2025-08-05,2025-09-15,41.0,Completed,,71.8,Unknown,No,Unknown,6398.02,6527.42,129.39999999999964,2.0
P0112,Participant 112,participant112@yahoo.com,True,Estado de México,,Not specified,High school,Excel for Business,2025-08-26,2025-09-21,26.0,Dropped,56.2,95.6,Unknown,No,Unknown,2396.7,4686.67,2289.9700000000003,
P0113,Participant 113,participant113@outlook.com,True,Nuevo León,19.0,Female,Undergraduate,Excel for Business,2025-06-14,2025-09-02,80.0,Dropped,94.4,85.9,No,Unknown,Unknown,3794.17,2841.19,-952.98,
P0114,Participant 114,participant114@outlook.com,True,Ciudad de México,23.0,Female,High school,Employability Skills,2025-05-12,2025-09-07,118.0,Dropped,80.9,71.7,Unknown,No,Unknown,8817.02,10461.67,1644.6499999999996,4.0
P0115,Participant 115,,False,Puebla,34.0,Female,Not specified,Employability Skills,2025-03-16,2025-04-20,35.0,Unknown,85.1,96.4,No,No,Remained unemployed,3975.54,3762.72,-212.82000000000016,4.0
P0116,Participant 116,participant116@gmail.com,True,Nuevo León,27.0,Male,Undergraduate,Data Analytics,2025-02-07,2025-04-13,65.0,Completed,63.3,56.9,Yes,No,Lost employment,1954.09,7200.0,5245.91,2.0
P0117,Participant 117,participant117@gmail.com,True,Yucatán,20.0,Female,Secondary,Excel for Business,2025-02-18,2025-11-05,260.0,Unknown,,,No,Unknown,Unknown,10515.23,13558.54,3043.3100000000013,5.0
P0118,Participant 118,participant118@example.org,True,Estado de México,27.0,Male,Not specified,Digital Marketing,2025-08-08,2025-10-13,66.0,Completed,95.1,90.2,No,No,Remained unemployed,3707.94,1548.17,-2159.77,4.0
P0119,Participant 119,participant119@yahoo.com,True,Nuevo León,35.0,Male,Graduate,Data Analytics,2025-07-24,2025-11-14,113.0,Completed,58.6,95.8,Yes,No,Lost employment,4739.44,3683.41,-1056.0299999999997,3.0
P0120,Participant 120,participant120@example.org,True,Puebla,26.0,Female,Not specified,Python Basics,2025-08-19,2025-10-16,58.0,Completed,96.6,79.7,Yes,Yes,Remained employed,2575.21,-1394.86,-3970.0699999999997,4.0
P0121,Participant 121,participant121@gmail.com,True,Jalisco,20.0,Female,Graduate,Data Analytics,2025-08-08,2025-09-10,33.0,Unknown,86.4,91.2,No,Unknown,Unknown,8567.33,9587.05,1019.7199999999993,
P0122,Participant 122,participant122@gmail.com,True,Yucatán,22.0,Not specified,Not specified,Digital Marketing,2025-07-29,2025-09-18,51.0,Completed,68.5,81.8,Yes,Yes,Remained employed,0.0,2791.28,2791.28,2.0
P0123,Participant 123,participant123@yahoo.com,True,Chiapas,,Not specified,Not specified,Data Analytics,2025-06-18,2025-08-09,52.0,In progress,68.5,91.5,Unknown,Yes,Unknown,2364.28,4403.85,2039.5700000000002,3.0
P0124,Participant 124,,False,Ciudad de México,23.0,Female,Not specified,Digital Marketing,2025-07-17,2025-11-11,117.0,Completed,96.3,,No,Yes,Entered employment,5941.1,6480.45,539.3499999999995,1.0
P0125,Participant 125,participant125@outlook.com,True,Ciudad de México,26.0,Female,Secondary,Python Basics,2025-07-11,2025-08-31,51.0,Unknown,94.3,89.4,Unknown,No,Unknown,10643.74,11514.53,870.7900000000009,1.0
P0126,Participant 126,,False,Ciudad de México,32.0,Not specified,High school,Excel for Business,2025-10-07,,,Unknown,52.0,83.1,No,No,Remained unemployed,4770.47,3156.73,-1613.7400000000002,
